Date,IPO Name,"Issue Size 						  (in crores)",QIB,HNI,RII,Total,Issue,Listing Open,Listing Close,"Listing  						  Gains(%)",CMP,"Current 						  Gains (%)"
29-07-2021,Tatva Chintan,500,2.55,9.78,13.36,9.5,1083,2111.8,2310.25,113.32,"2,268.50",109.46
23-07-2021,Zomato,9375,51.79,32.96,7.45,38.25,76,115,125.85,65.59,133.35,75.46
19-07-2021,Clean Science,1546,156.37,206.43,9,93.41,900,1784.4,1585.2,76.13,"1,682.80",86.98
19-07-2021,G R Infra,963.28,93.18,73.01,4.89,43.48,837,1700,1746.8,108.7,"1,730.85",106.79
07-07-2021,India Pesticide,800,2.64,1.36,4.4,3.25,296,360,335.45,13.33,337.4,13.99
05-07-2021,Krishna Inst.,2146,5.26,1.89,2.9,3.86,825,1009,1096.8,32.95,"1,206.60",46.25
28-06-2021,Dodla Dairy,521,84.88,73.26,11.34,45.62,428,550,609.1,42.31,617.5,44.28
24-06-2021,Shyam Metalics,909,62.18,172.51,5.29,56.56,306,380,375.85,22.83,436.1,42.52
24-06-2021,Sona BLW,5550,1.57,0.22,0.66,1.04,291,302.4,362.85,24.69,438.9,50.82
14-05-2021,PowerGrid InvIT,7734.99,0,0,0,0,100,104,102.98,2.98,119,19
19-04-2021,Macrotech Dev,2500,3.05,1.44,0.4,1.36,486,439,463.15,-4.7,853.45,75.61
07-04-2021,Barbeque Nat,453.6,0,0,0,0,500,492,590.4,18.08,878.7,75.74
30-03-2021,Nazara,582.91,52.82,148.42,34.49,75.04,1101,1971,1576.8,43.22,"1,850.00",68.03
26-03-2021,Suryoday Small,582.34,2.18,1.31,3.09,2.37,305,274.75,276.2,-9.44,203.45,-33.3
26-03-2021,Kalyan Jeweller,1175,1.18,0.97,1.47,1.28,87,73.9,75.3,-13.45,70.9,-18.51
25-03-2021,Laxmi Organic,600,1.13,0.73,4.41,2.68,130,173,164.6,26.62,261.55,101.19
25-03-2021,Craftsman,823.7,0.56,0.05,1.04,0.69,1490,1440,1433,-3.83,"2,001.75",34.35
24-03-2021,Anupam Rasayan,760,30.8,62.06,4.62,23.86,555,534.7,525.9,-5.24,723.1,30.29
19-03-2021,Easy Trip,510,0,2.79,14.48,3.39,187,182,208.3,11.39,408.85,118.64
15-03-2021,MTAR Tech,596.41,52.01,522.35,12.78,133.18,575,990.05,1082.25,88.22,"1,438.85",150.23
05-03-2021,Heranba,60,25.98,108.72,4.82,33.13,627,900,812.25,29.55,810.15,29.21
26-02-2021,Railtel,819.24,22.03,51.4,7.08,20.68,94,109,121.4,29.15,139,47.87
25-02-2021,Nureca,100,0.24,17.1,74.29,17.98,400,634.95,666.65,66.66,"1,728.35",332.09
05-02-2021,Stove Kraft,412.63,8.02,32.72,26.04,18.03,385,498,445.95,15.83,772.15,100.56
03-02-2021,Home First,1153.72,52.53,39,6.59,26.66,518,612.15,527.4,1.81,600,15.83
02-02-2021,Indigo Paints,1170.56,96.21,115.76,6.5,54.84,1490,2607.5,3118.65,109.31,"2,595.00",74.16
29-01-2021,IRFC,4633,0.89,0.52,1.59,1.16,26,25,24.85,-4.42,23,-11.54
01-01-2021,Antony Waste,300.53,0.64,0.28,7.22,3.85,315,430,407.25,29.29,344.95,9.51
24-12-2020,Bectors Food,540.54,176.85,620.86,29.33,198.02,288,501,595.55,106.79,427.9,48.58
14-12-2020,Burger King,796.5,86.64,354.11,68.15,156.65,60,115.35,138.4,130.67,180.4,200.67
20-11-2020,Gland,6479.55,6.4,0.51,0.24,2.06,1500,1710,1820.45,21.36,"3,920.00",161.33
02-11-2020,Equitas Bank,517.6,3.91,0.22,2.08,1.95,33,31,32.75,-0.76,63.2,91.52
12-10-2020,UTI AMC,2159.88,3.34,0.93,2.32,2.31,554,476.2,476.6,-13.97,"1,042.05",88.1
12-10-2020,Mazagon Dock,443.69,89.71,678.88,35.63,157.41,145,216.25,173,19.31,259.5,78.97
05-10-2020,Angel Broking,600,5.74,0.69,4.31,3.94,306,275,275.85,-9.85,"1,186.85",287.86
